Age,Gender,Employment Status,Education Level,Credit Score,Annual Income,DTI (%),Loan Amount,Loan Purpose,Interest Rate (%),Loan Term (months),Home Ownership,Open Accounts,Bankruptcy,Payment History (on-time),Delinquency (count),Credit Inquiries,Credit Utilization (%),Employment Length (years),Loan Status
22,Female,Employed,Master's,351,34901,44.88,22790,Car,11.52,36,Own,4,2,23/57,0,2,49.95,23,Late
62,Female,Self-employed,Master's,635,119311,27.24,6716,Home,5.24,36,Own,7,2,14/54,2,0,29.57,31,Current
69,Male,Retired,Bachelor's,691,59948,28.5,10266,Credit Card,15.31,36,Own,5,1,1/51,0,1,84.71,35,Fully Paid
43,Female,Employed,Master's,659,31663,46.81,18887,Medical,15.11,60,Mortgage,2,2,2/58,3,0,76.96,3,Fully Paid
50,Male,Self-employed,Bachelor's,325,55498,28.46,24439,Car,9.45,36,Mortgage,5,1,37/52,3,0,70.91,34,Charged Off
23,Male,Employed,Bachelor's,443,124072,42.36,26725,Home,20.71,60,Rent,7,0,18/56,3,4,17.32,16,Late
36,Female,Retired,Bachelor's,639,95489,36.71,9055,Medical,13.78,36,Rent,10,0,41/59,0,0,17.28,34,Charged Off
52,Male,Unemployed,High School,320,143486,31.97,48942,Medical,18.74,36,Own,10,2,30/54,2,4,34.79,5,Fully Paid
44,Male,Employed,Bachelor's,786,143007,45.83,33979,Car,9.92,36,Mortgage,10,0,27/55,1,2,81.64,15,Fully Paid
71,Male,Employed,Bachelor's,724,97612,16.74,6500,Home,12.66,36,Mortgage,4,0,45/51,0,5,12.42,15,Charged Off
66,Male,Retired,Master's,469,73271,23.7,18376,Car,21.94,60,Mortgage,5,2,13/57,1,2,74.23,29,Fully Paid
41,Female,Self-employed,High School,323,61642,41.42,49702,Medical,7.94,60,Mortgage,2,2,26/53,2,5,81.68,6,Late
21,Male,Unemployed,Bachelor's,669,52950,19.12,25585,Car,24.09,36,Own,4,1,32/54,2,4,82.64,39,Charged Off
66,Male,Employed,High School,596,22808,47.08,35545,Car,11.32,36,Own,4,0,22/55,1,0,48.77,10,Fully Paid
52,Male,Employed,Bachelor's,541,28762,39.36,34166,Credit Card,7.37,36,Own,10,0,1/55,3,0,24.24,34,Fully Paid
61,Female,Self-employed,Master's,756,96894,23.47,41178,Home,21.71,36,Mortgage,8,0,37/55,0,4,77.31,4,Charged Off
19,Female,Unemployed,Bachelor's,814,110219,17.85,39366,Car,18.07,36,Own,3,2,35/57,2,2,52.99,31,Fully Paid
39,Female,Self-employed,Bachelor's,810,112294,43.01,24084,Car,11.02,36,Rent,4,1,27/53,0,0,14.3,5,Late
36,Male,Unemployed,High School,478,36732,26.55,12838,Home,17.98,60,Own,3,0,44/57,2,1,21.38,19,Current
70,Female,Self-employed,Bachelor's,417,61812,46.08,22686,Car,11.73,36,Mortgage,3,1,30/52,0,4,67.9,29,Fully Paid
26,Female,Employed,Bachelor's,790,112421,48.62,36971,Car,15.38,60,Rent,8,2,35/59,1,4,49.21,4,Fully Paid
26,Female,Unemployed,Bachelor's,422,93478,17.57,25416,Credit Card,23.74,36,Own,11,1,14/53,2,1,70.47,9,Charged Off
23,Male,Unemployed,Master's,843,126160,41.5,30550,Medical,17.21,36,Rent,11,0,49/58,0,2,63.23,14,Charged Off
52,Male,Retired,High School,645,53846,28.44,35080,Car,12.75,36,Rent,8,0,41/58,0,0,29.6,7,Current
36,Female,Unemployed,Master's,405,72800,23.53,49279,Credit Card,19.45,60,Rent,9,0,45/54,0,0,22.92,19,Late
34,Male,Self-employed,Bachelor's,315,122721,42.05,23953,Car,8.18,36,Mortgage,7,1,22/51,1,2,70.43,32,Late
